实体名称,类型,经度,纬度,出现次数,有坐标变体
秦岭,mountain,107.0,33.5,25,否
秦皇岛,city,119.5996,39.9354,41,是
秦皇岛市,city,119.6005,39.9354,11,是
穆棱,city,130.5244,44.9186,15,否
穆棱市,city,130.5244,44.9186,9,否
粤港澳大湾区,region,113.2644,23.1291,16,是
纳木错,lake,90.6,30.7,7,否
绍兴,city,120.582,30.0319,16,否
绍兴市,city,120.582,30.0319,2,否
绥化,city,126.9695,46.6374,44,否
绥化市,city,126.9695,46.6374,12,是
绥芬河,city,131.1517,44.4125,46,是
绥芬河市,city,131.15,44.41,11,是
绵阳,city,104.6794,31.4678,41,是
绵阳市,city,104.6794,31.4678,8,是
罗霄山脉,mountain,114.0,26.5,23,否
聊城,city,115.9853,36.4559,45,否
聊城市,city,115.9853,36.4559,10,否
肇东,city,125.9617,46.0511,21,是
肇东市,city,125.9617,46.0511,2,否
自贡,city,104.7784,29.3393,35,是
自贡市,city,104.7784,29.3393,12,是
舒兰,city,126.9658,44.4061,36,是
舒兰市,city,126.9658,44.4061,10,否
舟山,city,122.1064,30.036,50,是
舟山市,city,122.207,29.985,16,是
色林错,lake,88.7,31.8,27,否
苏州,city,120.5853,31.2989,49,是
苏州博物馆,landmark,120.6219,31.3128,27,否
苏州园林,landmark,120.5853,31.2989,10,是
苏州市,city,120.5853,31.2989,4,否
荆州,city,112.241,30.3352,42,是
荆州市,city,112.241,30.3352,13,是
莆田,city,119.0078,25.4541,46,否
莆田市,city,119.0078,25.4541,17,是
莫高窟,landmark,94.79,40.03,22,是
菏泽,city,115.4807,35.2339,19,否
菏泽市,city,115.4807,35.2339,7,否
营口,city,122.235,40.6678,55,是
营口市,city,122.235,40.6678,10,是
葫芦岛,city,120.8375,40.743,43,否
葫芦岛市,city,120.8375,40.743,8,是
蓬莱阁,landmark,120.84,37.83,20,是
虎林,city,132.9717,45.7647,38,是
虎林市,city,132.9717,45.7647,14,是
蛟河,city,127.3444,43.7236,37,否
蛟河市,city,127.3444,43.7236,15,否
衡山,mountain,112.7333,27.25,21,是
衡水,city,115.67,37.7348,46,是
衡水市,city,115.67,37.73,9,是
衡阳,city,112.5717,26.8968,51,是
衡阳市,city,112.5717,26.8968,10,否
衢州,city,118.8597,28.9358,41,是
衢州市,city,118.8597,28.9358,7,是
襄阳,city,112.1222,32.009,24,是
襄阳市,city,112.1222,32.009,7,是
西宁,city,101.7782,36.6171,58,否
西宁市,city,101.7782,36.6171,35,是
西安,city,108.9398,34.3416,52,是
西安城墙,landmark,108.9472,34.2586,16,是
西安市,city,108.9398,34.3416,10,是
西安钟楼,landmark,108.9543,34.2656,1,否
西湖,lake|landmark,120.1,30.2,11,是
西藏自治区,province,91.1721,29.6524,172,是
讷河,city,124.8772,48.4842,22,否
讷河市,city,124.8772,48.4842,7,否
许昌,city,113.8523,34.0357,16,否
许昌市,city,113.8523,34.0357,5,否
贵州省,province,106.7135,26.5783,153,是
贵港,city,109.5986,23.1036,19,否
贵港市,city,109.5986,23.1036,4,否
贵阳,city,106.6302,26.647,46,是
贵阳市,city,106.6302,26.647,15,是
贺兰山,mountain,105.9,38.7,27,是
贺州,city,111.5526,24.4032,51,否
贺州市,city,111.5526,24.4032,10,否
资水,river,111.5,27.8,10,否
资阳,city,104.6278,30.1288,40,是
资阳市,city,104.6,30.1,13,是
赣江,river,115.9,28.7,20,是
赤峰,city,118.8869,42.2573,35,是
赤峰市,city,118.8869,42.2573,4,否
辛集,city,115.2181,37.9433,21,是
辛集市,city,115.2181,37.9433,7,否
